driverId,week,hours-logged,miles-logged
33,23,50,3200
103,30,57,3400
75,14,78,3300
35,15,55,2000
92,29,73,900
41,2,57,1800
45,16,68,3800
94,26,68,1300
52,18,78,2000
44,14,75,1400
106,21,51,1400
59,11,75,2400
16,42,73,800
26,50,57,100
72,36,74,3600
14,36,50,3700
104,5,60,3400
21,38,75,1100
82,18,80,1700
106,38,69,2000
59,28,57,500
11,5,64,1000
18,5,76,4000
49,42,55,900
108,29,55,700
11,30,56,2500
74,23,53,3500
84,34,51,1800
67,19,55,3100
46,26,69,1200
95,31,70,2100
74,31,76,400
74,20,72,1300
35,38,80,3900
21,42,50,2600
77,45,64,300
81,27,73,2300
61,8,72,3900
46,2,70,3500
99,13,55,2100
36,13,57,2500
42,30,52,1100
20,33,68,2700
33,49,65,1800
102,28,80,100
81,4,56,600
101,16,57,1300
87,42,70,600
79,19,71,2400
38,11,79,2200
99,33,54,2100
90,21,73,3300
73,50,61,800
107,28,52,2800
38,27,67,1900
26,30,79,2200
69,20,62,1400
82,52,52,2800
67,14,59,1000
98,31,67,4000
63,35,74,2200
73,46,57,2700
85,21,55,600
63,33,60,1200
106,15,67,2500
74,35,67,3100
51,23,75,900
46,40,59,2200
89,25,69,2400
87,7,66,3700
58,4,74,1400
54,47,77,1400
64,40,74,3600
106,6,70,1700
102,2,57,1400
18,49,77,1100
93,52,52,3200
47,40,74,1800
93,1,66,200
15,41,54,2700
56,42,67,600
34,14,58,200
19,40,56,3200
49,28,75,3700
56,10,52,1500
81,40,79,800
51,31,73,3600
82,48,52,1100
41,15,79,3300
102,10,68,2000
61,11,71,2700
79,48,55,3000
96,8,50,2800
52,2,78,1800
24,27,79,900
56,50,80,1100
26,52,57,3600
51,20,60,2400
70,14,60,1100
65,31,51,3000
82,27,78,900
74,13,69,1300
67,31,50,100
90,34,61,900
82,35,69,3100
59,52,60,2400
39,5,67,1300
90,26,62,2200
24,42,76,3300
11,40,80,2200
97,36,52,1000
45,21,70,0
90,3,51,2200
91,47,70,200
74,50,59,500
48,46,80,3700
11,48,66,3200
29,44,68,2700
83,5,55,1400
63,6,58,900
63,14,58,2400
103,40,76,2400
40,1,73,2800
41,34,59,3500
38,10,80,2900
23,5,67,2200
57,43,75,1200
89,40,61,2700
78,15,79,400
48,32,69,3100
109,47,66,1900
23,24,58,2000
75,35,78,3900
63,29,62,0
26,52,73,2000
69,52,50,1900
78,23,63,1300
86,6,66,3600
78,24,76,2700
58,11,70,0
44,39,54,1900
14,3,54,3400
44,23,56,1200
65,46,61,400
14,20,57,2000
99,36,67,2500
97,5,72,2300
105,10,58,3500
25,45,74,2200
72,21,61,2700
85,44,50,2800
85,45,65,2300
14,9,77,3900
34,50,72,1700
55,24,66,2100
16,27,53,700
73,50,59,1600
89,3,68,3500
109,52,69,2500
24,46,80,1300
10,48,64,3700
106,21,70,3600
106,46,58,2900
33,25,71,800
34,2,54,2400
51,32,76,200
103,25,60,1200
49,21,67,3800
89,30,64,2800
78,48,60,2300
53,22,72,3100
95,16,73,300
100,43,69,2300
19,29,73,2000
109,12,79,1000
14,34,68,1000
100,14,73,1500
67,21,53,1500
36,21,71,1200
13,17,78,1200
83,40,78,300
72,48,57,3800
56,20,80,2600
29,1,63,1500
82,15,65,3000
81,17,53,4000
101,34,63,3700
19,9,78,3900
17,39,73,1200
41,45,50,500
54,29,69,500
80,8,51,400
48,28,73,300
26,44,61,1300
16,19,61,1200
40,14,65,400
36,10,69,600
37,38,65,3100
62,1,52,3000
84,4,64,200
26,4,56,2300
102,1,71,3700
67,31,60,2900
47,11,50,3400
104,6,59,900
25,50,69,2400
54,52,77,1500
84,10,78,3200
18,11,70,700
56,13,75,2100
70,19,59,3900
102,51,68,1300
100,12,78,3100
98,1,52,2500
104,42,66,600
33,44,52,2400
52,20,74,2500
79,25,64,2600
89,44,62,1500
12,8,68,2700
63,20,55,3200
57,4,60,3100
33,34,71,1100
49,35,76,3600
16,14,75,3600
49,40,55,3900
37,9,54,900
65,13,79,600
39,52,58,4000
42,7,74,3400
22,32,73,3100
82,47,60,3000
68,24,61,3600
25,42,80,2300
41,9,54,1700
29,47,77,1200
75,29,57,1800
73,29,74,2300
47,5,53,600
107,10,68,2500
43,37,76,2600
62,22,77,0
72,14,74,1800
89,13,72,2000
37,50,77,1600
38,3,64,1700
12,24,69,1700
35,34,57,3800
88,42,64,1700
39,46,67,600
48,46,54,400
103,38,62,1600
60,40,76,1400
101,13,80,2100
95,52,72,1400
86,11,61,1800
103,4,54,200
93,44,79,1900
37,5,58,2300
93,10,70,1100
58,26,74,2200
33,49,63,3200
72,2,78,1000
14,27,76,800
44,22,63,2800
50,28,62,1700
24,20,62,2000
46,26,73,3200
100,3,70,3200
26,13,55,3600
24,17,64,3500
103,43,66,2900
21,33,80,1800
82,24,78,2800
18,22,56,2700
88,28,66,400
98,12,64,600
18,50,52,1600
84,3,73,2900
59,11,64,2000
35,46,69,1200
84,30,66,2200
40,25,77,3700
76,16,59,1000
42,8,58,2400
84,15,71,0
39,10,57,800
44,3,76,1500
91,20,73,3200
41,28,52,1500
66,31,57,3700
55,30,69,500
24,13,51,1900
24,4,59,2400
28,23,79,200
78,14,74,3600
12,3,80,1100
96,15,73,2000
70,30,71,3200
17,38,63,500
93,6,76,1300
74,23,72,2600
78,44,77,1500
53,50,58,2700
77,9,56,800
10,15,80,1300
32,13,76,800
59,52,69,1700
102,10,55,500
81,26,62,3000
36,40,78,700
64,35,57,600
87,38,75,700
68,21,59,2600
67,33,60,3300
85,23,77,3400
76,39,67,2000
70,45,79,3900
51,18,72,2600
37,27,63,3400
42,33,77,0
76,22,66,3500
11,27,80,3100
66,21,71,4000
55,37,79,800
21,9,58,2900
43,16,63,300
67,5,54,2600
85,9,55,2500
25,16,58,2700
22,31,51,100
13,38,64,2400
30,17,51,1800
44,39,53,3000
97,9,77,3300
34,40,72,3300
109,35,79,700
28,15,68,1300
78,23,50,0
105,15,73,2200
49,31,67,700
26,35,73,3000
106,15,68,2300
42,43,68,3500
12,12,61,3200
74,36,53,2400
23,15,59,2300
71,30,54,1300
79,47,63,3700
11,27,78,3700
86,27,59,1300
47,1,76,0
54,11,75,1300
10,40,60,0
21,39,53,3800
77,43,54,2000
52,35,78,2300
89,31,79,3900
72,45,64,2600
105,1,77,3600
33,39,57,1900
32,50,57,2300
42,29,57,3400
63,2,77,3000
61,2,71,2300
57,22,78,600
27,15,51,3600
57,4,50,3300
12,50,61,1900
85,6,75,900
30,43,79,3800
52,7,73,3700
61,45,56,600
61,32,73,2800
29,6,61,2300
85,18,64,3200
48,16,77,2600
49,14,75,800
101,40,78,2400
77,51,55,2800
18,6,75,3700
97,46,66,2400
88,52,74,3400
89,26,55,500
90,3,57,3700
51,25,70,1000
70,39,80,3600
17,8,51,3700
106,17,75,600
28,17,58,2100
23,23,58,800
48,16,61,3000
103,35,53,200
40,24,74,600
100,20,56,800
69,23,63,3600
57,30,76,3800
81,3,54,1400
93,28,61,2600
77,17,52,2700
80,4,55,1900
106,20,75,2900
18,30,56,4000
56,25,69,3200
79,35,79,1800
48,29,68,1200
94,40,64,2100
17,26,70,3700
93,26,57,1900
11,41,59,800
87,13,56,1100
76,19,69,100
26,12,66,3600
37,31,73,200
103,12,79,100
78,27,54,1300
30,43,61,300
63,9,65,4000
83,50,78,3800
83,2,67,3200
10,18,70,2000
25,40,78,3400
47,48,62,3900
62,29,60,2100
66,21,55,1000
70,50,70,3300
64,45,64,100
98,16,67,3900
68,30,71,1600
49,33,60,2900
50,16,54,800
82,5,58,3100
63,31,69,1400
84,24,62,2800
14,18,76,2900
101,12,78,2300
30,29,63,1300
43,19,76,900
46,9,68,400
73,43,63,100
41,41,63,500
39,1,61,300
21,50,53,2100
31,1,64,2800
103,20,53,2000
35,1,51,400
63,16,71,3700
45,25,53,1200
10,52,65,3600
46,30,60,700
16,1,60,1000
16,23,58,200
71,20,53,1700
104,27,71,3200
87,50,50,100
31,28,74,2900
67,30,77,4000
97,10,73,1700
46,32,62,2100
65,47,75,400
15,44,61,1300
69,9,57,3600
62,44,55,1900
67,48,74,600
